#{"t_start": 1639590939.9665973, "env_id": null}
r,l,t
-20.0,1201,3.634857
-20.0,1206,12.137731
-21.0,1401,14.26297
-21.0,1173,24.697085
-20.0,1219,35.347119
-20.0,1113,37.317336
-20.0,1200,48.976761
-20.0,1103,50.928618
-20.0,1280,62.708661
-21.0,1110,64.643159
-21.0,1072,76.256148
-20.0,1121,78.132739
-21.0,1086,89.522582
-21.0,1097,91.345996
-21.0,1092,102.266814
-20.0,1120,114.064349
-20.0,1133,116.130314
-20.0,1118,127.989659
-21.0,1040,129.705289
-20.0,1210,141.742203
-21.0,1139,143.675523
-21.0,1091,152.364231
-21.0,1096,154.100829
-21.0,1108,162.259884
-21.0,1306,170.618845
-21.0,1094,172.383066
-21.0,1043,180.926436
-21.0,1067,182.732076
-21.0,1222,191.233629
-21.0,1136,192.944422
-20.0,1207,203.219139
-21.0,1204,205.097061
-21.0,1200,214.533232
-21.0,1134,223.051284
-20.0,1370,225.162424
-19.0,1253,233.39466
-21.0,1137,235.12793
-21.0,1056,243.709283
-21.0,1099,252.345776
-21.0,1096,254.063828
-20.0,1116,262.213343
-20.0,1130,264.042436
-21.0,1219,273.974687
-20.0,1111,275.685759
-21.0,1576,285.52807
-21.0,1036,293.556183
-21.0,1211,295.521422
-21.0,1088,304.171742
-21.0,1081,305.918212
-21.0,1100,313.951059
-19.0,1460,316.266697
-20.0,1283,325.231443
-21.0,1063,333.384554
-20.0,1124,335.089784
-21.0,1066,344.48064
-20.0,1200,346.425631
-21.0,1338,356.028905
-21.0,1104,357.728112
-21.0,1175,365.519353
-21.0,1215,373.416044
-20.0,1265,375.432669
-21.0,1339,383.96179
-21.0,1049,385.655529
-21.0,1110,394.066651
-21.0,1059,395.666248
-20.0,1235,403.973424
-20.0,1127,411.738913
-21.0,1107,413.579518
-21.0,1030,423.314203
-20.0,1287,425.33945
-20.0,1275,436.306123
-21.0,1134,438.087949
-20.0,1146,446.828018
-20.0,1299,455.708004
-20.0,1160,457.506537
-20.0,1392,466.385312
-21.0,1090,468.114758
-21.0,1114,476.628611
-18.0,1460,486.61786
-20.0,1374,488.863541
-21.0,1242,498.148036
-21.0,1108,499.872772
-21.0,1266,509.083915
-21.0,1248,517.374564
-21.0,1193,519.164399
-21.0,1175,527.506984
-20.0,1371,536.47337
-21.0,1089,538.141908
-21.0,1349,546.899998
-21.0,1020,548.476473
-21.0,1026,557.04766
-21.0,1093,558.882499
-21.0,1136,568.744457
-21.0,1102,570.439243
-20.0,1230,579.186775
-20.0,1255,588.048507
-21.0,1025,589.660608
-21.0,1015,597.89123
-21.0,1012,599.419056
-21.0,1180,608.009557
-21.0,1329,610.13747
